Sequence,Date of Collection,Clade
seq_6138,2021-12-10,21K (Omicron)
seq_6139,2021-12-09,21K (Omicron)
seq_6140,2021-12-07,21J (Delta)
seq_6141,2021-12-07,21J (Delta)
seq_6142,2021-12-07,21J (Delta)
seq_6143,2021-12-09,21K (Omicron)
seq_6144,2021-12-07,21J (Delta)
seq_6145,2021-12-07,21J (Delta)
seq_6146,2021-12-07,21J (Delta)
seq_6147,2021-12-09,21J (Delta)
seq_6148,2021-12-10,21K (Omicron)
seq_6149,2021-12-10,21J (Delta)
seq_6150,2021-12-07,21J (Delta)
seq_6151,2021-12-06,21J (Delta)
seq_6152,2021-12-09,21K (Omicron)
seq_6153,2021-12-08,21K (Omicron)
seq_6154,2021-12-09,21J (Delta)
seq_6155,2021-12-10,21J (Delta)
seq_6156,2021-12-08,21J (Delta)
seq_6157,2021-12-08,21J (Delta)
seq_6158,2021-12-06,21K (Omicron)
seq_6159,2021-12-09,21J (Delta)
seq_6160,2021-12-06,21J (Delta)
seq_6161,2021-12-09,21J (Delta)
seq_6162,2021-12-06,21J (Delta)
seq_6163,2021-12-09,21K (Omicron)
seq_6164,2021-12-10,21K (Omicron)
seq_6165,2021-12-09,21J (Delta)
seq_6166,2021-12-09,21K (Omicron)
seq_6167,2021-12-09,21K (Omicron)
seq_6168,2021-12-08,21K (Omicron)
seq_6169,2021-12-08,21J (Delta)
seq_6170,2021-12-09,21J (Delta)
seq_6171,2021-12-09,21K (Omicron)
seq_6172,2021-12-06,21J (Delta)
seq_6173,2021-12-09,21K (Omicron)
seq_6174,2021-12-08,21J (Delta)
seq_6175,2021-12-09,21K (Omicron)
seq_6176,2021-12-07,21K (Omicron)
seq_6177,2021-12-07,21J (Delta)
seq_6178,2021-12-07,21J (Delta)
seq_6179,2021-12-06,21J (Delta)
seq_6180,2021-12-09,21J (Delta)
seq_6181,2021-12-08,21J (Delta)
seq_6182,2021-12-09,21J (Delta)
seq_6183,2021-12-09,21J (Delta)
seq_6184,2021-12-10,21K (Omicron)
seq_6185,2021-12-08,21K (Omicron)
seq_6186,2021-12-07,21K (Omicron)
seq_6187,2021-12-09,21J (Delta)
seq_6188,2021-12-07,21K (Omicron)
seq_6189,2021-12-08,21K (Omicron)
seq_6190,2021-12-07,21J (Delta)
seq_6191,2021-12-08,21J (Delta)
seq_6192,2021-12-10,21K (Omicron)
seq_6193,2021-12-09,21K (Omicron)
seq_6194,2021-12-10,21K (Omicron)
seq_6195,2021-12-09,21J (Delta)
seq_6196,2021-12-08,21J (Delta)
seq_6197,2021-12-07,21J (Delta)
seq_6198,2021-12-10,21K (Omicron)
seq_6199,2021-12-08,21J (Delta)
seq_6200,2021-12-10,21K (Omicron)
seq_6201,2021-12-09,21J (Delta)
seq_6202,2021-12-07,21J (Delta)
seq_6203,2021-12-09,21K (Omicron)
seq_6204,2021-12-07,21J (Delta)
seq_6205,2021-12-09,21J (Delta)
seq_6206,2021-12-09,21J (Delta)
seq_6207,2021-12-10,21K (Omicron)
seq_6208,2021-12-08,21J (Delta)
seq_6209,2021-12-07,21J (Delta)
seq_6210,2021-12-10,21J (Delta)
seq_6211,2021-12-08,21J (Delta)
seq_6212,2021-12-10,21J (Delta)
seq_6213,2021-12-08,21J (Delta)
seq_6214,2021-12-07,21J (Delta)
seq_6215,2021-12-09,21K (Omicron)
seq_6216,2021-12-07,21J (Delta)
seq_6217,2021-12-09,21K (Omicron)
seq_6218,2021-12-08,21K (Omicron)
seq_6219,2021-12-06,21J (Delta)
seq_6220,2021-12-09,21J (Delta)
seq_6221,2021-12-09,21K (Omicron)
seq_6222,2021-12-06,21J (Delta)
seq_6223,2021-12-09,21J (Delta)
seq_6224,2021-12-07,21K (Omicron)
seq_6225,2021-12-09,21K (Omicron)
seq_6226,2021-12-06,21I (Delta)
seq_6227,2021-12-09,21J (Delta)
seq_6228,2021-12-10,21A (Delta)
seq_6229,2021-12-09,21J (Delta)
seq_6230,2021-12-09,21J (Delta)
seq_6231,2021-12-10,21K (Omicron)
seq_6232,2021-12-09,20C
seq_6233,2021-12-09,21J (Delta)
seq_6234,2021-12-10,21J (Delta)
seq_6235,2021-12-08,21J (Delta)
seq_6236,2021-12-07,21K (Omicron)
seq_6237,2021-12-08,21J (Delta)
seq_6238,2021-12-07,21J (Delta)
seq_6239,2021-12-10,21J (Delta)
seq_6240,2021-12-08,21J (Delta)
seq_6241,2021-12-07,21J (Delta)
seq_6242,2021-12-07,21K (Omicron)
seq_6243,2021-12-08,21K (Omicron)
seq_6244,2021-12-09,21J (Delta)
seq_6245,2021-12-07,21J (Delta)
seq_6246,2021-12-08,21J (Delta)
seq_6247,2021-12-07,21J (Delta)
seq_6248,2021-12-09,21J (Delta)
seq_6249,2021-12-08,21J (Delta)
seq_6250,2021-12-09,21J (Delta)
seq_6251,2021-12-09,21K (Omicron)
seq_6252,2021-12-09,21J (Delta)
seq_6253,2021-12-06,21J (Delta)
seq_6254,2021-12-08,21J (Delta)
seq_6255,2021-12-09,21J (Delta)
seq_6256,2021-12-07,21J (Delta)
seq_6257,2021-12-09,21K (Omicron)
seq_6258,2021-12-08,21J (Delta)
seq_6259,2021-12-07,21J (Delta)
seq_6260,2021-12-08,21I (Delta)
seq_6261,2021-12-07,21J (Delta)
seq_6262,2021-12-09,21J (Delta)
seq_6263,2021-12-09,21J (Delta)
seq_6264,2021-12-09,21J (Delta)
seq_6265,2021-12-09,21K (Omicron)
seq_6266,2021-12-07,21J (Delta)
seq_6267,2021-12-09,21K (Omicron)
seq_6268,2021-12-08,21J (Delta)
seq_6269,2021-12-08,21K (Omicron)
seq_6270,2021-12-09,21J (Delta)
seq_6271,2021-12-09,21K (Omicron)
seq_6272,2021-12-06,21K (Omicron)
seq_6273,2021-12-10,21J (Delta)
seq_6274,2021-12-10,21J (Delta)
seq_6275,2021-12-07,21J (Delta)
seq_6276,2021-12-09,21K (Omicron)
seq_6277,2021-12-08,21J (Delta)
seq_6278,2021-12-08,21K (Omicron)
seq_6279,2021-12-07,21I (Delta)
seq_6280,2021-12-10,21K (Omicron)
seq_6281,2021-12-08,21J (Delta)
seq_6282,2021-12-07,21J (Delta)
seq_6283,2021-12-09,21K (Omicron)
seq_6284,2021-12-09,21I (Delta)
seq_6285,2021-12-09,21J (Delta)
seq_6286,2021-12-09,21J (Delta)
seq_6287,2021-12-06,21K (Omicron)
seq_6288,2021-12-08,21J (Delta)
seq_6289,2021-12-07,21J (Delta)
seq_6290,2021-12-07,21K (Omicron)
seq_6291,2021-12-09,21K (Omicron)
seq_6292,2021-12-09,21K (Omicron)
seq_6293,2021-12-09,21J (Delta)
seq_6294,2021-12-10,21J (Delta)
seq_6295,2021-12-10,21K (Omicron)
seq_6296,2021-12-07,21K (Omicron)
seq_6297,2021-12-07,21J (Delta)
seq_6298,2021-12-08,21J (Delta)
seq_6299,2021-12-09,21K (Omicron)
seq_6300,2021-12-08,21K (Omicron)
seq_6301,2021-12-09,21J (Delta)
seq_6302,2021-12-07,21J (Delta)
seq_6303,2021-12-07,21K (Omicron)
seq_6304,2021-12-10,21J (Delta)
seq_6305,2021-12-09,21K (Omicron)
seq_6306,2021-12-09,21K (Omicron)
seq_6307,2021-12-09,21J (Delta)
seq_6308,2021-12-09,21K (Omicron)
seq_6309,2021-12-08,21J (Delta)
seq_6310,2021-12-09,21J (Delta)
seq_6311,2021-12-09,21J (Delta)
seq_6312,2021-12-09,21K (Omicron)
seq_6313,2021-12-08,21J (Delta)
seq_6314,2021-12-07,21J (Delta)
seq_6315,2021-12-07,21K (Omicron)
seq_6316,2021-12-08,21K (Omicron)
seq_6317,2021-12-06,21J (Delta)
seq_6318,2021-12-08,21J (Delta)
seq_6319,2021-12-07,21J (Delta)
seq_6320,2021-12-09,21J (Delta)
seq_6321,2021-12-09,21K (Omicron)
seq_6322,2021-12-09,21J (Delta)
seq_6323,2021-12-09,21J (Delta)
seq_6324,2021-12-07,21J (Delta)
seq_6325,2021-12-09,21K (Omicron)
seq_6326,2021-12-09,21J (Delta)
seq_6327,2021-12-09,21K (Omicron)
seq_6328,2021-12-07,21J (Delta)
seq_6329,2021-12-09,21J (Delta)
seq_6330,2021-12-07,21J (Delta)
seq_6331,2021-12-07,21J (Delta)
seq_6332,2021-12-10,21K (Omicron)
seq_6333,2021-12-09,21J (Delta)
seq_6334,2021-12-07,21J (Delta)
seq_6335,2021-12-08,21J (Delta)
seq_6336,2021-12-08,21J (Delta)
seq_6337,2021-12-08,21K (Omicron)
seq_6338,2021-12-09,21K (Omicron)
seq_6339,2021-12-09,21K (Omicron)
seq_6340,2021-12-09,21K (Omicron)
seq_6341,2021-12-08,21J (Delta)
seq_6342,2021-12-07,21J (Delta)
seq_6343,2021-12-09,21J (Delta)
seq_6344,2021-12-09,21K (Omicron)
seq_6345,2021-12-09,21J (Delta)
seq_6346,2021-12-08,21J (Delta)
seq_6347,2021-12-09,21J (Delta)
seq_6348,2021-12-09,21J (Delta)
seq_6349,2021-12-06,21J (Delta)
seq_6350,2021-12-10,21K (Omicron)
seq_6351,2021-12-09,21J (Delta)
seq_6352,2021-12-08,21J (Delta)
seq_6353,2021-12-08,21K (Omicron)
seq_6354,2021-12-09,21J (Delta)
seq_6355,2021-12-07,21J (Delta)
seq_6356,2021-12-08,21K (Omicron)
seq_6357,2021-12-09,21J (Delta)
seq_6358,2021-12-10,21K (Omicron)
seq_6359,2021-12-07,21J (Delta)
seq_6360,2021-12-08,21J (Delta)
seq_6361,2021-12-06,21J (Delta)
seq_6362,2021-12-08,21K (Omicron)
seq_6363,2021-12-07,21K (Omicron)
seq_6364,2021-12-09,21J (Delta)
seq_6365,2021-12-09,21J (Delta)
seq_6366,2021-12-09,21J (Delta)
seq_6367,2021-12-06,21J (Delta)
seq_6368,2021-12-07,21J (Delta)
seq_6369,2021-12-09,21J (Delta)
seq_6370,2021-12-10,21K (Omicron)
seq_6371,2021-12-07,21K (Omicron)
seq_6372,2021-12-09,21J (Delta)
seq_6373,2021-12-07,21J (Delta)
seq_6374,2021-12-08,21K (Omicron)
seq_6375,2021-12-08,21J (Delta)
seq_6376,2021-12-10,21K (Omicron)
seq_6377,2021-12-09,21J (Delta)
seq_6378,2021-12-09,21J (Delta)
seq_6379,2021-12-08,21K (Omicron)
seq_6380,2021-12-07,21J (Delta)
seq_6381,2021-12-09,21J (Delta)
seq_6382,2021-12-09,21K (Omicron)
seq_6383,2021-12-07,21K (Omicron)
seq_6384,2021-12-09,21J (Delta)
seq_6385,2021-12-09,21K (Omicron)
seq_6386,2021-12-10,21J (Delta)
seq_6387,2021-12-09,21J (Delta)
seq_6388,2021-12-09,21K (Omicron)
seq_6389,2021-12-08,21K (Omicron)
seq_6390,2021-12-10,21J (Delta)
seq_6391,2021-12-09,21J (Delta)
seq_6392,2021-12-09,21K (Omicron)
seq_6393,2021-12-07,21J (Delta)
seq_6394,2021-12-07,21J (Delta)
seq_6395,2021-12-09,21K (Omicron)
seq_6396,2021-12-09,21J (Delta)
seq_6397,2021-12-09,21J (Delta)
seq_6398,2021-12-06,21K (Omicron)
seq_6399,2021-12-09,21J (Delta)
seq_6400,2021-12-07,21J (Delta)
seq_6401,2021-12-09,21K (Omicron)
seq_6402,2021-12-07,21J (Delta)
seq_6403,2021-12-08,21J (Delta)
seq_6404,2021-12-07,21J (Delta)
seq_6405,2021-12-08,21K (Omicron)
seq_6406,2021-12-08,21K (Omicron)
seq_6407,2021-12-09,21J (Delta)
seq_6408,2021-12-09,21J (Delta)
seq_6409,2021-12-08,21J (Delta)
seq_6410,2021-12-09,21K (Omicron)
seq_6411,2021-12-07,21J (Delta)
seq_6412,2021-12-08,21J (Delta)
seq_6413,2021-12-09,21K (Omicron)
seq_6414,2021-12-08,21J (Delta)
seq_6415,2021-12-07,21J (Delta)
seq_6416,2021-12-09,21K (Omicron)
seq_6417,2021-12-06,21J (Delta)
seq_6418,2021-12-08,21J (Delta)
seq_6419,2021-12-09,21K (Omicron)
seq_6420,2021-12-10,21J (Delta)
seq_6421,2021-12-09,21K (Omicron)
seq_6422,2021-12-07,21J (Delta)
seq_6423,2021-12-09,21J (Delta)
seq_6424,2021-12-08,21K (Omicron)
seq_6425,2021-12-09,21J (Delta)
seq_6426,2021-12-09,21J (Delta)
seq_6427,2021-12-09,21K (Omicron)
seq_6428,2021-12-06,21J (Delta)
seq_6429,2021-12-10,21J (Delta)
seq_6430,2021-12-08,21K (Omicron)
seq_6431,2021-12-10,21J (Delta)
seq_6432,2021-12-07,21J (Delta)
seq_6433,2021-12-10,21J (Delta)
seq_6434,2021-12-08,21J (Delta)
seq_6435,2021-12-08,21J (Delta)
seq_6436,2021-12-09,21K (Omicron)
seq_6437,2021-12-08,21K (Omicron)
seq_6438,2021-12-07,21J (Delta)
seq_6439,2021-12-07,21J (Delta)
seq_6440,2021-12-07,21J (Delta)
seq_6441,2021-12-10,21K (Omicron)
seq_6442,2021-12-10,21K (Omicron)
seq_6443,2021-12-10,21K (Omicron)
seq_6444,2021-12-08,21J (Delta)
seq_6445,2021-12-08,21J (Delta)
seq_6446,2021-12-08,21J (Delta)
seq_6447,2021-12-08,21K (Omicron)
seq_6448,2021-12-09,21J (Delta)
seq_6449,2021-12-09,21J (Delta)
seq_6450,2021-12-08,21K (Omicron)
seq_6451,2021-12-08,21J (Delta)
seq_6452,2021-12-09,21J (Delta)
seq_6453,2021-12-10,21J (Delta)
seq_6454,2021-12-08,21J (Delta)
seq_6455,2021-12-09,21J (Delta)
seq_6456,2021-12-09,21J (Delta)
seq_6457,2021-12-09,21J (Delta)
seq_6458,2021-12-08,21K (Omicron)
seq_6459,2021-12-07,21J (Delta)
seq_6460,2021-12-07,21J (Delta)
seq_6461,2021-12-10,21K (Omicron)
seq_6462,2021-12-06,21J (Delta)
seq_6463,2021-12-08,21J (Delta)
seq_6464,2021-12-07,21J (Delta)
seq_6465,2021-12-08,21J (Delta)
seq_6466,2021-12-09,21J (Delta)
seq_6467,2021-12-08,21J (Delta)
seq_6468,2021-12-09,21K (Omicron)
seq_6469,2021-12-09,21K (Omicron)
seq_6470,2021-12-09,21K (Omicron)
seq_6471,2021-12-08,21J (Delta)
seq_6472,2021-12-07,21J (Delta)
seq_6473,2021-12-08,21J (Delta)
seq_6474,2021-12-09,21J (Delta)
seq_6475,2021-12-09,21K (Omicron)
seq_6476,2021-12-09,21J (Delta)
seq_6477,2021-12-09,21J (Delta)
seq_6478,2021-12-10,21J (Delta)
seq_6479,2021-12-10,21K (Omicron)
seq_6480,2021-12-07,21J (Delta)
seq_6481,2021-12-07,21K (Omicron)
seq_6482,2021-12-09,21K (Omicron)
seq_6483,2021-12-07,21J (Delta)
seq_6484,2021-12-08,21J (Delta)
seq_6485,2021-12-06,21J (Delta)
seq_6486,2021-12-10,21J (Delta)
seq_6487,2021-12-09,21J (Delta)
seq_6488,2021-12-09,21K (Omicron)
seq_6489,2021-12-07,21J (Delta)
seq_6490,2021-12-08,21J (Delta)
seq_6491,2021-12-10,21J (Delta)
seq_6492,2021-12-09,21J (Delta)
seq_6493,2021-12-08,21K (Omicron)
seq_6494,2021-12-09,21K (Omicron)
seq_6495,2021-12-09,21J (Delta)
seq_6496,2021-12-08,21J (Delta)
seq_6497,2021-12-09,21J (Delta)
seq_6498,2021-12-09,21J (Delta)
seq_6499,2021-12-06,21J (Delta)
seq_6500,2021-12-09,21K (Omicron)
seq_6501,2021-12-07,21J (Delta)
seq_6502,2021-12-10,21K (Omicron)
seq_6503,2021-12-06,21J (Delta)
seq_6504,2021-12-07,21K (Omicron)
seq_6505,2021-12-06,21J (Delta)
seq_6506,2021-12-07,21J (Delta)
seq_6507,2021-12-10,21J (Delta)
seq_6508,2021-12-08,21J (Delta)
seq_6509,2021-12-08,21J (Delta)
seq_6510,2021-12-08,21J (Delta)
seq_6511,2021-12-07,21J (Delta)
seq_6512,2021-12-07,21K (Omicron)
seq_6513,2021-12-08,21K (Omicron)
seq_6514,2021-12-09,21J (Delta)
seq_6515,2021-12-09,21K (Omicron)
seq_6516,2021-12-10,21J (Delta)
seq_6517,2021-12-07,21J (Delta)
seq_6518,2021-12-08,21K (Omicron)
seq_6519,2021-12-07,21J (Delta)
seq_6520,2021-12-08,21K (Omicron)
seq_6521,2021-12-09,21J (Delta)
seq_6522,2021-12-09,21K (Omicron)
seq_6523,2021-12-09,21J (Delta)
seq_6524,2021-12-08,21J (Delta)
seq_6525,2021-12-10,21J (Delta)
seq_6526,2021-12-09,21J (Delta)
seq_6527,2021-12-10,21J (Delta)
seq_6528,2021-12-07,21J (Delta)
seq_6529,2021-12-07,21J (Delta)
seq_6530,2021-12-08,21J (Delta)
seq_6531,2021-12-08,21J (Delta)
seq_6532,2021-12-06,21J (Delta)
seq_6533,2021-12-08,21J (Delta)
seq_6534,2021-12-09,21K (Omicron)
seq_6535,2021-12-10,21J (Delta)
seq_6536,2021-12-07,21J (Delta)
seq_6537,2021-12-08,21J (Delta)
seq_6538,2021-12-09,21J (Delta)
seq_6539,2021-12-08,21J (Delta)
seq_6540,2021-12-08,21J (Delta)
seq_6541,2021-12-09,21J (Delta)
seq_6542,2021-12-07,21J (Delta)
seq_6543,2021-12-08,21K (Omicron)
seq_6544,2021-12-08,21K (Omicron)
seq_6545,2021-12-08,21J (Delta)
seq_6546,2021-12-08,21J (Delta)
seq_6547,2021-12-09,21J (Delta)
seq_6548,2021-12-08,21J (Delta)
seq_6549,2021-12-09,21K (Omicron)
seq_6550,2021-12-10,21J (Delta)
seq_6551,2021-12-07,21J (Delta)
seq_6552,2021-12-08,21J (Delta)
seq_6553,2021-12-07,21J (Delta)
seq_6554,2021-12-07,21J (Delta)
seq_6555,2021-12-09,21J (Delta)
seq_6556,2021-12-08,21J (Delta)
seq_6557,2021-12-10,21J (Delta)
seq_6558,2021-12-07,21J (Delta)
seq_6559,2021-12-09,21J (Delta)
seq_6560,2021-12-09,21J (Delta)
seq_6561,2021-12-08,21K (Omicron)
seq_6562,2021-12-09,21J (Delta)
seq_6563,2021-12-10,21K (Omicron)
seq_6564,2021-12-08,21K (Omicron)
seq_6565,2021-12-07,21J (Delta)
seq_6566,2021-12-09,21J (Delta)
seq_6567,2021-12-09,21J (Delta)
seq_6568,2021-12-08,21J (Delta)
seq_6569,2021-12-10,21J (Delta)
seq_6570,2021-12-09,21K (Omicron)
seq_6571,2021-12-09,21J (Delta)
seq_6572,2021-12-09,21J (Delta)
seq_6573,2021-12-10,21J (Delta)
seq_6574,2021-12-09,21J (Delta)
seq_6575,2021-12-09,21J (Delta)
seq_6576,2021-12-09,21J (Delta)
seq_6577,2021-12-06,21J (Delta)
seq_6578,2021-12-08,21J (Delta)
seq_6579,2021-12-07,21J (Delta)
seq_6580,2021-12-09,21J (Delta)
seq_6581,2021-12-08,21J (Delta)
seq_6582,2021-12-08,21K (Omicron)
seq_6583,2021-12-09,21J (Delta)
seq_6584,2021-12-07,21J (Delta)
seq_6585,2021-12-09,21J (Delta)
seq_6586,2021-12-07,21J (Delta)
seq_6587,2021-12-07,21J (Delta)
seq_6588,2021-12-10,21J (Delta)
seq_6589,2021-12-09,21J (Delta)
seq_6590,2021-12-06,21J (Delta)
seq_6591,2021-12-07,21J (Delta)
seq_6592,2021-12-10,21J (Delta)
seq_6593,2021-12-08,21J (Delta)
seq_6594,2021-12-07,21J (Delta)
seq_6595,2021-12-10,21J (Delta)
seq_6596,2021-12-08,21J (Delta)
seq_6597,2021-12-07,21J (Delta)
seq_6598,2021-12-09,21J (Delta)
seq_6599,2021-12-09,21J (Delta)
seq_6600,2021-12-10,21K (Omicron)
seq_6601,2021-12-09,21J (Delta)
seq_6602,2021-12-09,21J (Delta)
seq_6603,2021-12-06,21J (Delta)
seq_6604,2021-12-09,21J (Delta)
seq_6605,2021-12-08,21J (Delta)
seq_6606,2021-12-07,21J (Delta)
seq_6607,2021-12-07,21J (Delta)
seq_6608,2021-12-10,21K (Omicron)
seq_6609,2021-12-07,21J (Delta)
seq_6610,2021-12-08,21K (Omicron)
seq_6611,2021-12-09,21J (Delta)
seq_6612,2021-12-10,21J (Delta)
seq_6613,2021-12-07,21J (Delta)
seq_6614,2021-12-08,21J (Delta)
seq_6615,2021-12-09,21J (Delta)
seq_6616,2021-12-09,21J (Delta)
seq_6617,2021-12-09,21J (Delta)
seq_6618,2021-12-07,21J (Delta)
seq_6619,2021-12-07,21K (Omicron)
seq_6620,2021-12-09,21J (Delta)
seq_6621,2021-12-10,21J (Delta)
seq_6622,2021-12-08,21J (Delta)
seq_6623,2021-12-07,21J (Delta)
seq_6624,2021-12-08,21J (Delta)
seq_6625,2021-12-09,21K (Omicron)
seq_6626,2021-12-08,21K (Omicron)
seq_6627,2021-12-09,21J (Delta)
seq_6628,2021-12-08,21J (Delta)
seq_6629,2021-12-07,21J (Delta)
seq_6630,2021-12-09,21K (Omicron)
seq_6631,2021-12-09,21J (Delta)
seq_6632,2021-12-09,21K (Omicron)
seq_6633,2021-12-10,21J (Delta)
seq_6634,2021-12-07,21J (Delta)
seq_6635,2021-12-08,21J (Delta)
seq_6636,2021-12-08,21J (Delta)
seq_6637,2021-12-08,21K (Omicron)
seq_6638,2021-12-10,21K (Omicron)
seq_6639,2021-12-09,21J (Delta)
seq_6640,2021-12-09,21J (Delta)
seq_6641,2021-12-08,21K (Omicron)
seq_6642,2021-12-10,21K (Omicron)
seq_6643,2021-12-10,21K (Omicron)
seq_6644,2021-12-09,21J (Delta)
seq_6645,2021-12-09,21J (Delta)
seq_6646,2021-12-09,21J (Delta)
seq_6647,2021-12-09,21J (Delta)
seq_6648,2021-12-09,21J (Delta)
seq_6649,2021-12-09,21K (Omicron)
seq_6650,2021-12-07,21J (Delta)
seq_6651,2021-12-08,21J (Delta)
seq_6652,2021-12-09,21J (Delta)
seq_6653,2021-12-09,21J (Delta)
seq_6654,2021-12-07,21J (Delta)
seq_6655,2021-12-09,21J (Delta)
seq_6656,2021-12-08,21K (Omicron)
seq_6657,2021-12-10,21K (Omicron)
seq_6658,2021-12-09,21J (Delta)
seq_6659,2021-12-08,21J (Delta)
seq_6660,2021-12-09,21J (Delta)
seq_6661,2021-12-08,21J (Delta)
seq_6662,2021-12-08,21J (Delta)
seq_6663,2021-12-09,21K (Omicron)
seq_6664,2021-12-09,21J (Delta)
seq_6665,2021-12-06,21J (Delta)
seq_6666,2021-12-09,21J (Delta)
seq_6667,2021-12-08,21K (Omicron)
seq_6668,2021-12-07,21J (Delta)
seq_6669,2021-12-08,21J (Delta)
seq_6670,2021-12-09,21J (Delta)
seq_6671,2021-12-10,21J (Delta)
seq_6672,2021-12-06,21J (Delta)
seq_6673,2021-12-07,21J (Delta)
seq_6674,2021-12-07,21J (Delta)
seq_6675,2021-12-08,21J (Delta)
seq_6676,2021-12-08,21K (Omicron)
seq_6677,2021-12-07,21J (Delta)
seq_6678,2021-12-09,21J (Delta)
seq_6679,2021-12-07,21J (Delta)
seq_6680,2021-12-08,21J (Delta)
seq_6681,2021-12-08,21J (Delta)
seq_6682,2021-12-09,21J (Delta)
seq_6683,2021-12-07,21K (Omicron)
seq_6684,2021-12-10,21K (Omicron)
seq_6685,2021-12-08,21J (Delta)
seq_6686,2021-12-07,21J (Delta)
seq_6687,2021-12-07,21J (Delta)
seq_6688,2021-12-07,21J (Delta)
seq_6689,2021-12-10,21J (Delta)
seq_6690,2021-12-10,21K (Omicron)
seq_6691,2021-12-09,21J (Delta)
seq_6692,2021-12-09,21J (Delta)
seq_6693,2021-12-07,21J (Delta)
seq_6694,2021-12-09,21J (Delta)
seq_6695,2021-12-09,21J (Delta)
seq_6696,2021-12-08,21J (Delta)
seq_6697,2021-12-08,21J (Delta)
seq_6698,2021-12-09,21J (Delta)
seq_6699,2021-12-07,21J (Delta)
seq_6700,2021-12-07,21J (Delta)
seq_6701,2021-12-09,21J (Delta)
seq_6702,2021-12-09,21J (Delta)
seq_6703,2021-12-09,21J (Delta)
seq_6704,2021-12-10,21K (Omicron)
seq_6705,2021-12-09,21K (Omicron)
seq_6706,2021-12-07,21K (Omicron)
seq_6707,2021-12-07,21J (Delta)
seq_6708,2021-12-10,21J (Delta)
seq_6709,2021-12-09,21J (Delta)
seq_6710,2021-12-09,21K (Omicron)
seq_6711,2021-12-09,21K (Omicron)
seq_6712,2021-12-08,21J (Delta)
seq_6713,2021-12-08,21J (Delta)
seq_6714,2021-12-08,21J (Delta)
seq_6715,2021-12-07,21J (Delta)
seq_6716,2021-12-08,21K (Omicron)
seq_6717,2021-12-06,21J (Delta)
seq_6718,2021-12-07,21J (Delta)
seq_6719,2021-12-07,21J (Delta)
seq_6720,2021-12-09,21J (Delta)
seq_6721,2021-12-09,21J (Delta)
seq_6722,2021-12-10,21K (Omicron)
seq_6723,2021-12-10,21J (Delta)
seq_6724,2021-12-07,21J (Delta)
seq_6725,2021-12-07,21J (Delta)
seq_6726,2021-12-09,21K (Omicron)
seq_6727,2021-12-09,21J (Delta)
seq_6728,2021-12-08,21J (Delta)
seq_6729,2021-12-10,21J (Delta)
seq_6730,2021-12-07,21J (Delta)
seq_6731,2021-12-08,21J (Delta)
seq_6732,2021-12-07,21K (Omicron)
seq_6733,2021-12-09,21K (Omicron)
seq_6734,2021-12-07,21K (Omicron)
seq_6735,2021-12-08,21J (Delta)
seq_6736,2021-12-09,21J (Delta)
seq_6737,2021-12-10,21K (Omicron)
seq_6738,2021-12-07,21K (Omicron)
seq_6739,2021-12-10,21K (Omicron)
seq_6740,2021-12-08,21J (Delta)
seq_6741,2021-12-10,21J (Delta)
seq_6742,2021-12-07,21K (Omicron)
seq_6743,2021-12-08,21J (Delta)
seq_6744,2021-12-07,21J (Delta)
seq_6745,2021-12-08,21K (Omicron)
seq_6746,2021-12-07,21J (Delta)
seq_6747,2021-12-07,21J (Delta)
seq_6748,2021-12-10,21J (Delta)
seq_6749,2021-12-08,21J (Delta)
seq_6750,2021-12-06,21J (Delta)
seq_6751,2021-12-08,21J (Delta)
seq_6752,2021-12-08,21J (Delta)
seq_6753,2021-12-07,21J (Delta)
seq_6754,2021-12-09,21K (Omicron)
seq_6755,2021-12-08,21K (Omicron)
seq_6756,2021-12-06,21K (Omicron)
seq_6757,2021-12-09,21K (Omicron)
seq_6758,2021-12-07,21K (Omicron)
seq_6759,2021-12-08,21J (Delta)
seq_6760,2021-12-07,21J (Delta)
seq_6761,2021-12-09,21J (Delta)
seq_6762,2021-12-07,21J (Delta)
seq_6763,2021-12-09,21K (Omicron)
seq_6764,2021-12-08,21J (Delta)
seq_6765,2021-12-10,21J (Delta)
seq_6766,2021-12-08,21K (Omicron)
seq_6767,2021-12-09,21J (Delta)
seq_6768,2021-12-10,21K (Omicron)
seq_6769,2021-12-07,21J (Delta)
seq_6770,2021-12-09,21J (Delta)
seq_6771,2021-12-08,21J (Delta)
seq_6772,2021-12-09,21J (Delta)
seq_6773,2021-12-09,21K (Omicron)
seq_6774,2021-12-07,21J (Delta)
seq_6775,2021-12-07,21J (Delta)
seq_6776,2021-12-07,21J (Delta)
seq_6777,2021-12-09,21K (Omicron)
seq_6778,2021-12-08,21J (Delta)
seq_6779,2021-12-08,21J (Delta)
seq_6780,2021-12-09,21K (Omicron)
seq_6781,2021-12-09,21J (Delta)
seq_6782,2021-12-08,21K (Omicron)
seq_6783,2021-12-08,21J (Delta)
seq_6784,2021-12-09,21J (Delta)
seq_6785,2021-12-10,21J (Delta)
seq_6786,2021-12-08,21J (Delta)
seq_6787,2021-12-08,21J (Delta)
seq_6788,2021-12-08,21J (Delta)
seq_6789,2021-12-09,21K (Omicron)
seq_6790,2021-12-03,21J (Delta)
seq_6791,2021-12-07,21J (Delta)
seq_6792,2021-12-10,21K (Omicron)
seq_6793,2021-12-08,21K (Omicron)
